comp_name,tittle_job,tittle_url
Công Ty Cổ Phần Tập Đoàn Masterise,Senior Manager – Financial Management(MỚI),https://www.vietnamworks.com/senior-manager-financial-management-1644363-jv/?source=searchResults&searchType=2&placement=1644364&sortBy=date
Công Ty Cổ Phần Tập Đoàn Masterise,Assistant Project Marketing Manager(MỚI),https://www.vietnamworks.com/assistant-project-marketing-manager-1643686-jv/?source=searchResults&searchType=2&placement=1643687&sortBy=date
Trung Tâm Chứng Thực Điện Tử Quốc Gia,"Chuyên Viên Vận Hành, Quản Trị Hệ Thống(MỚI)",https://www.vietnamworks.com/chuyen-vien-van-hanh-quan-tri-he-thong-1629820-jv/?source=searchResults&searchType=2&placement=1629821&sortBy=date
"Mainfreight Vietnam Co., Ltd.",Business Development Manager – Warehouse & Local Distribution(MỚI),https://www.vietnamworks.com/business-development-manager-warehouse-local-distribution-2-1-1642935-jv/?source=searchResults&searchType=2&placement=1642936&sortBy=date
Công Ty TNHH Lock&Lock HCM,Korean Sales (ONLY Korean)(MỚI),https://www.vietnamworks.com/korean-sales-only-korean-1643389-jv/?source=searchResults&searchType=2&placement=1643390&sortBy=date
"Nishio Rent All Vietnam Co., LTD.",Sales Admin in Dong Nai(MỚI),https://www.vietnamworks.com/sales-admin-in-dong-nai-1644913-jv/?source=searchResults&searchType=2&placement=1644914&sortBy=date
"Danieli – Industrielle Beteiligung Co., Ltd",Civil-Steel Structural Engineer(MỚI),https://www.vietnamworks.com/civil-steel-structural-engineer-1642442-jv/?source=searchResults&searchType=2&placement=1642443&sortBy=date
Công Ty TNHH Nestlé Việt Nam,Marketing Assistant (Coffee & Beverage)(MỚI),https://www.vietnamworks.com/marketing-assistant-coffee-beverage-1643968-jv/?source=searchResults&searchType=2&placement=1643969&sortBy=date
GHConsults,Senior Associate(MỚI),https://www.vietnamworks.com/senior-associate-52-1631529-jv/?source=searchResults&searchType=2&placement=1631530&sortBy=date
Capgemini Vietnam,"Senior Data Engineer (Big Data, Hadoop, NoSQL)(MỚI)",https://www.vietnamworks.com/senior-data-engineer-big-data-hadoop-nosql-1-1639375-jv/?source=searchResults&searchType=2&placement=1639376&sortBy=date
